codigo_eje;nombre_eje;coddisa;nomdisa;codred;codmicro;codigo_pre;nombre_pre;almtipo;red;diris;CATEGORIA;DISTRITO;MICRORED;RISS;NORTE;ESTE;BOLETEA
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;26;02;14727;PROFAM;P;RED DE SALUD LIMA NORTE IV;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;036;NO TIENE ASIGNADO DIRIS;03;04;14811;SAN MARTIN DE PORRES;C;VILLA EL SALVADOR - LURIN - PACHACAMAC - PUCUSANA;;;;;;;;
036;LIMA METROPOLITANA;040;DIRIS LIMA SUR;03;08;15075;C.S. CLAS JUAN PABLO II;C;VILLA EL SALVADOR - LURIN - PACHACAMAC - PUCUSANA;LIMA SUR;I-3;PACHACAMAC;PORTADA DE MANCHAY;PACHACAMAC;-76.8624313;-12.1096968;SI
036;LIMA METROPOLITANA;040;DIRIS LIMA SUR;02;05;15544;C.A.M. TAYTA WASI;C;SAN JUAN DE MIRAFLORES - VILLA MARIA DEL TRIUNFO;LIMA SUR;I-3;VILLA MARIA DEL TRIUNFO;VILLA MARIA - JOSE CARLOS MARIATEGUI;VILLA MARIA DEL TRIUNFO;-76.9497515;-12.1416948;SI
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;26;02;16525;VILLAS DE ANCON;P;RED DE SALUD LIMA NORTE IV;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;040;DIRIS LIMA SUR;02;05;16630;P.S. 12 DE JUNIO;P;SAN JUAN DE MIRAFLORES - VILLA MARIA DEL TRIUNFO;LIMA SUR;I-2;VILLA MARIA DEL TRIUNFO;VILLA MARIA - JOSE CARLOS MARIATEGUI;VILLA MARIA DEL TRIUNFO;-76.94996;-12.1568;NO
036;LIMA METROPOLITANA;040;DIRIS LIMA SUR;03;05;16852;P.S. MARTHA MILAGROS BAJA;P;VILLA EL SALVADOR - LURIN - PACHACAMAC - PUCUSANA;LIMA SUR;I-2;LURIN;LURIN;LURIN Y BALNEARIOS;-76.903259;-12.233266;SI
036;LIMA METROPOLITANA;036;NO TIENE ASIGNADO DIRIS;00;00;16918;INSTITUTO NACIONAL DE SALUD NIÐO SAN BORJA;I;NO PERTENECE A NINGUNA RED;;;;;;;;
036;LIMA METROPOLITANA;040;DIRIS LIMA SUR;02;05;17440;P.S. JUAN CARLOS SOBERON;P;SAN JUAN DE MIRAFLORES - VILLA MARIA DEL TRIUNFO;LIMA SUR;I-2;VILLA MARIA DEL TRIUNFO;VILLA MARIA - JOSE CARLOS MARIATEGUI;VILLA MARIA DEL TRIUNFO;-76.929749;-12.163089;SI
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;24;04;21104;CENTRO DE SALUD MENTAL COMUNITARIO CARABAYLLO;C;TUPAC AMARU;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;036;NO TIENE ASIGNADO DIRIS;00;00;21762;CENTRAL DE REFERENCIA Y CONTRARREFERENCIA;O;NO PERTENECE A NINGUNA RED;;;;;;;;
036;LIMA METROPOLITANA;036;NO TIENE ASIGNADO DIRIS;00;00;22104;DIRECCION DE SERVICIOS DE ATENCION MOVIL DE URGENCIAS Y EMERGENCIAS;O;NO PERTENECE A NINGUNA RED;;;;;;;;
036;LIMA METROPOLITANA;040;DIRIS LIMA SUR;00;00;23159;HOSPITAL DE EMERGENCIAS VILLA EL SALVADOR;H;NO PERTENECE A NINGUNA RED;LIMA SUR;II-E;VILLA EL SALVADOR;NO PERTENECE A NINGUNA MICRORED;VILLA EL SALVADOR;-76.9336669;-12.2326004;NO
036;LIMA METROPOLITANA;040;DIRIS LIMA SUR;02;04;23635;P.S. DESIDERIO MOSCOSO CASTILLO;P;SAN JUAN DE MIRAFLORES - VILLA MARIA DEL TRIUNFO;LIMA SUR;I-2;SAN JUAN DE MIRAFLORES;OLLANTAY;SAN JUAN DE MIRAFLORES;-76.951098;-12.124492;SI
036;LIMA METROPOLITANA;040;DIRIS LIMA SUR;01;02;24374;C.S.M.C. NANCY REYES BAHAMONDE;C;BARRANCO - CHORRILLOS - SURCO;LIMA SUR;I-3;CHORRILLOS;VILLA;BARRANCO CHORRILLOS SURCO;-77.00966007;-12.19191626;SI
036;LIMA METROPOLITANA;040;DIRIS LIMA SUR;02;02;24847;C.S.M.C. 12 DE NOVIEMBRE;C;SAN JUAN DE MIRAFLORES - VILLA MARIA DEL TRIUNFO;LIMA SUR;I-3;SAN JUAN DE MIRAFLORES;LEONOR SAAVEDRA - VILLA SAN LUIS;SAN JUAN DE MIRAFLORES;-76.968160;-12.137611;SI
036;LIMA METROPOLITANA;040;DIRIS LIMA SUR;03;08;25771;C.S.M.C. LA MEDALLA MILAGROSA;C;VILLA EL SALVADOR - LURIN - PACHACAMAC - PUCUSANA;LIMA SUR;I-3;PACHACAMAC;PORTADA DE MANCHAY;PACHACAMAC;-76.871213;-12.128196;SI
036;LIMA METROPOLITANA;040;DIRIS LIMA SUR;03;08;25772;C.S.M.C. SANTA ROSA DE MANCHAY;C;VILLA EL SALVADOR - LURIN - PACHACAMAC - PUCUSANA;LIMA SUR;I-3;PACHACAMAC;PORTADA DE MANCHAY;PACHACAMAC;-76.885127;-12.094967;SI
036;LIMA METROPOLITANA;040;DIRIS LIMA SUR;01;02;26221;C.S.M.C. SAN SEBASTIAN;C;BARRANCO - CHORRILLOS - SURCO;LIMA SUR;I-3;CHORRILLOS;VILLA;BARRANCO CHORRILLOS SURCO;-76.978945;-12.201047;SI
036;LIMA METROPOLITANA;040;DIRIS LIMA SUR;03;;26282;C.S.M.C. VILLA EL SALVADOR;C;VILLA EL SALVADOR - LURIN - PACHACAMAC - PUCUSANA;LIMA SUR;I-3;VILLA EL SALVADOR;VILLA;VILLA EL SALVADOR;-76.949209;-12.217953;SI
